HANZI,PINYIN [PLECO],DEF1,TIPO1,DEF2,TIPO2,LESSON,NUMBER,LECCION,NUM,#
拿,NÁ,"agarrar, sostener",VER,,,2,13,16,19,306
哪,NǍ,"cuál, de qué",PI,,,,,3,3,307
哪儿,NǍR,dónde,PI,,,,,5,3,308
那,NÀ,"ese/esa, aquel/aquella",PRO,,,,,3,6,309
奶奶,NǍINAI,abuela paterna,NOM,,,13,4,3,14,310
男,NÁN,hombre,NOM,masculino,ADJ,,,2,8,311
南,NÁN,sur,NOM,,,1,10,,,312
难,NÁN,"difícil, complicado, duro",ADJ,,,2,6,22,46,313
难过,NÁNGUÒ,"difícil, triste, malo",ADJ,,,20,3,,,314
呢,NE,partícula modal para preguntas elípticas,PT,,,,,1,6,315
能,NÉNG,poder hacer algo (habilidad física o posiblidad de hacerlo),VAUX,,,,,11,10,316
你,NǏ,tú,PRO,,,,,1,1,317
年,NIÁN,año,NOM,,,,,9,2,318
年级,NIÁNJÍ,"año, grado",NOM,,,4,3,24,20,319
年轻,NIÁNQĪNG,joven,ADJ,,,4,14,15,37,320
鸟,NIǍO,"ave, pájaro",NOM,,,19,10,,,321
您,NÍN,usted,PRO,,,,,3,10,322
牛奶,NIÚNǍI,leche (de vaca),NOM,,,,,,,323
努力,NǓLI,trabajador,ADJ,esforzarse,V+O,4,7,,,324
女,NǙ,mujer,NOM,femenino,ADJ,,,5,5,325
女儿,NǙ'ÉR,hija,NOM,,,,,11,15,326
爬山,PÁSHĀN,escalar (montañas),V+O,,,3,2,,,327
盘子,PÁNZI,"plato, bandeja",NOM,,,14,9,,,328
旁边,PÁNGBIĀN,al lado,NOM,,,,,20,43,329
胖,PÀNG,"gordo, robusto",ADJ,,,2,16,,,330
跑步,PǍOBÙ,correr,V+O,,,,,,,331
朋友,PÉNGYOU,amigo,NOM,,,,,2,9,332
皮鞋,PÍXIÉ,zapatos de cuero,NOM,,,16,3,,,333
啤酒,PÍJIǓ,cerveza,NOM,,,11,14,,,334
便宜,PIÁNYI,barato,ADJ,,,,,17,22,335
